Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
488162,Riding the Flume (Aladdin Historical Fiction),Patricia Curtis Pfitsch,"Pfitsch, Patricia Curtis",,"=""0689866925""","=""9780689866920""",3,3.75,Aladdin,Paperback,240,2004,2002,2009/04/03,2026/01/08,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Hilda Rosner, Zigmantas Ardickas","=""""","=""""",5,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,2025/12/09,2023/08/01,books-that-changed-my-life,books-that-changed-my-life (#2),read,,,,1,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Афанасьевич Булгаков","=""0679760806""","=""9780679760801""",0,4.28,Vintage International,Paperback,372,1996,1967,,2023/08/01,currently-reading,currently-reading (#5),currently-reading,,,,1,0
160171,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,"Torvalds, Linus",David Diamond,"=""0066620732""","=""9780066620732""",4,3.97,Harper Business,Paperback,288,2002,2001,2025/12/25,2025/12/28,,,read,,,,1,0
12996,Othello,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""""","=""""",3,3.89,Simon & Schuster,Mass Market Paperback,319,2003,1603,,2023/08/01,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",4,4.15,Crown Currency,Hardcover,195,2014,2014,2024/10/09,2025/01/08,,,read,,,,1,0
23844174,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0486110001""","=""9780486110004""",3,3.74,Dover Publications,Kindle Edition,132,2014,1590,2015/01/04,2023/08/01,reads-that-feel-like-a-hug,reads-that-feel-like-a-hug (#1),read,"If love can elevate the soul to transcendence, it can just as well illuminate the arbitrary divisions that bind us to tragedy like with Romeo and Juliet who failed to see so. Maybe we can be romantic while also be diligent of our surroundings and circumstances that we are bound to, or maybe we never could due to the error of our humanity... At least we can keep trying.",,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",3,3.91,Random House Canada,Hardcover,409,2018,2018,,2025/01/09,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",4,4.29,Modern Library,Paperback,279,2023,1813,2025/12/02,2023/08/01,,,read,,,,1,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Jacob Needleman, Toinette Lippe, Claudio Lamparelli","=""0679724346""","=""9780679724346""",4,4.29,Vintage,Paperback,107,1989,-350,2025/12/09,2023/08/01,,,read,,,,1,0
