Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-22,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/8zbVd3,3.5,,,2006-12-29
2025-01-22,Titanic,1997,https://boxd.it/8zbzzL,4,,,2007-08-18
2025-12-16,Michael Jackson's Thriller,1983,https://boxd.it/c4tTGB,4.5,,,2007-10-05
2025-02-12,Ferris Bueller's Day Off,1986,https://boxd.it/8O6o2B,3,,,2008-02-10
2025-01-09,WALL·E,2008,https://boxd.it/8nn1Oj,4,,,2008-12-01
2025-04-23,This Is It,2009,https://boxd.it/9uyVkH,4,Yes,,2009-11-27
2025-10-24,Shrek the Halls,2007,https://boxd.it/bsRcqL,2.5,,,2009-12-21
2025-01-22,Black Swan,2010,https://boxd.it/8zbGMH,4,,,2010-06-09
2025-12-13,Problem Child,1990,https://boxd.it/c1pdqB,3,,,2010-09-09
2025-01-09,Scott Pilgrim vs. the World,2010,https://boxd.it/8npO0L,3,,,2010-11-13
2025-01-22,Fantastic Mr. Fox,2009,https://boxd.it/8zbPJn,4,,,2011-02-17
2025-02-03,28 Days Later,2002,https://boxd.it/8IqRh7,3.5,,,2011-03-02
2025-12-13,That's My Boy,2012,https://boxd.it/c1plej,2,,,2013-03-08
2025-01-22,The Shining,1980,https://boxd.it/8zbJyj,3.5,,,2014-04-20
2025-06-04,Flatland,2007,https://boxd.it/9TwxRt,1.5,,,2014-10-15
2026-01-08,Heaven Is for Real,2014,https://boxd.it/cvnuFT,2.5,,,2014-12-05
2025-04-23,Whiplash,2014,https://boxd.it/9uzDUf,4,,,2016-09-01
2025-01-24,Paint Drying,2016,https://boxd.it/8AmU0N,0.5,,,2017-01-01
2025-01-07,2001: A Space Odyssey,1968,https://boxd.it/8mdvjL,5,,,2017-06-07
2026-01-08,Pink Floyd: Live at Pompeii,1972,https://boxd.it/cvnybX,4.5,,,2017-06-10
2025-01-22,Whiplash,2014,https://boxd.it/8zaz39,4,,,2017-08-19
2025-01-09,Ex Machina,2015,https://boxd.it/8nmU31,4,,,2018-01-10
2025-01-22,Fight Club,1999,https://boxd.it/8za4jP,4.5,,,2018-04-06
2025-12-23,Self/less,2015,https://boxd.it/cbtwFj,2,,,2018-10-18
2025-01-22,La La Land,2016,https://boxd.it/8zaeAB,4,,,2018-11-30
2025-04-23,La La Land,2016,https://boxd.it/9uznUN,4,Yes,,2018-12-08
2025-04-23,American Psycho,2000,https://boxd.it/9uzJfH,2.5,,,2018-12-14
2025-01-26,Polytechnique,2009,https://boxd.it/8Cujnf,4,,,2018-12-19
2025-01-22,10 Things I Hate About You,1999,https://boxd.it/8zaTNL,3,,,2019-02-13
2025-01-09,Superlopez,2018,https://boxd.it/8nrYcV,2.5,,,2019-08-05
2025-04-23,Parasite,2019,https://boxd.it/9uzvjZ,4.5,,,2019-12-28
2025-01-09,GoodFellas,1990,https://boxd.it/8niD0r,4,,,2020-06-28
2025-01-22,Blade Runner 2049,2017,https://boxd.it/8zbfQd,4,,,2020-10-03
2025-08-27,JoJo's Bizarre Adventure: Phantom Blood,2012,https://boxd.it/aSvbkT,3,,,2020-10-30
2025-08-27,JoJo’s Bizarre Adventure: Battle Tendency,2012,https://boxd.it/aSvcaF,4,,,2020-11-06
2025-08-27,JoJo's Bizarre Adventure: Phantom Blood,2007,https://boxd.it/aSv8HZ,4,,,2020-11-17
2025-08-27,JoJo's Bizarre Adventure: Stardust Crusaders,2014,https://boxd.it/aSv6af,4,,,2020-11-20
2025-01-10,Hamilton,2020,https://boxd.it/8ow8zx,4,,,2020-11-27
2025-08-27,JoJo's Bizarre Adventure: Diamond is Unbreakable,2016,https://boxd.it/aSv9un,4,,,2020-12-03
2025-08-27,JoJo's Bizarre Adventure: Golden Wind,2018,https://boxd.it/aSva1V,4,,,2020-12-18
2025-01-22,The Devil All the Time,2020,https://boxd.it/8z9IfL,3.5,,,2021-01-13
2025-05-08,Dora and the Lost City of Gold,2019,https://boxd.it/9Dyryv,2,,,2021-02-08
2025-01-21,The Lighthouse,2019,https://boxd.it/8ylcNB,4,,,2021-03-11
2025-01-09,Tenet,2020,https://boxd.it/8njlFD,3.5,,,2021-04-11
2025-01-09,District 9,2009,https://boxd.it/8nnyM1,4,,,2021-05-15
2025-01-09,Perfect Blue,1997,https://boxd.it/8nm3iH,5,,,2022-02-26
2025-01-09,Top Gun: Maverick,2022,https://boxd.it/8nn6mT,4,,,2022-06-04
2025-01-09,Everything Everywhere All at Once,2022,https://boxd.it/8nj2N9,5,,,2022-06-07
2025-01-22,Dear Evan Hansen,2021,https://boxd.it/8z9MLr,4,,,2022-07-09
2025-08-27,JoJo's Bizarre Adventure: Stone Ocean,2021,https://boxd.it/aSvawJ,3,,,2022-10-13
2025-01-16,The Menu,2022,https://boxd.it/8uozTH,3,,,2022-10-15
2025-01-09,Apocalypse Now,1979,https://boxd.it/8nmGv1,4.5,,,2022-12-27
2025-01-21,The Whale,2022,https://boxd.it/8yf4Jp,4,,,2022-12-28
2025-01-22,TÁR,2022,https://boxd.it/8zbqmD,4,,,2023-03-01
2025-01-09,The Green Knight,2021,https://boxd.it/8nyNfj,4.5,,,2023-06-16
2025-01-10,8½,1963,https://boxd.it/8oDfEt,4,,,2023-07-21
2025-01-09,Oppenheimer,2023,https://boxd.it/8niWEb,4.5,,,2023-07-28
2025-01-09,Barbie,2023,https://boxd.it/8nqfeF,4,,,2023-07-28
2025-01-09,Call Me by Your Name,2017,https://boxd.it/8nikTR,4.5,,,2023-08-18
2025-01-07,The Tale of The Princess Kaguya,2013,https://boxd.it/8mdNb1,5,,,2023-08-26
2025-01-22,Saltburn,2023,https://boxd.it/8zaJth,3,,,2023-09-06
2025-01-09,North Hollywood,2020,https://boxd.it/8nj4IP,3,,,2023-10-26
2025-01-07,Piaffe,2022,https://boxd.it/8mfiZD,3,,,2023-11-17
2025-01-09,Bones and All,2022,https://boxd.it/8niZvB,3,,,2023-11-30
2025-01-07,Poor Things,2023,https://boxd.it/8meMyb,4.5,,,2023-12-21
2025-01-10,Anyone But You,2023,https://boxd.it/8ovvl7,3,,,2024-01-03
2025-01-09,Before Sunrise,1995,https://boxd.it/8niM2V,5,,,2024-02-10
2025-01-09,Zodiac,2007,https://boxd.it/8niAOt,4,,,2024-03-02
2025-01-10,Lawrence of Arabia,1962,https://boxd.it/8oCEKf,4.5,,,2024-03-23
2025-01-07,Challengers,2024,https://boxd.it/8meBaR,4.5,,,2024-05-02
2025-01-09,Emma.,2020,https://boxd.it/8nhMeZ,4,,,2024-05-09
2025-04-23,Palo Alto,2013,https://boxd.it/9uy7cN,4,,,2024-05-10
2024-05-21,Barbie: Fairytopia,2005,https://boxd.it/6vWgrb,5,,,2024-05-20
2025-01-09,Meg 2: The Trench,2023,https://boxd.it/8nhJ2L,1.5,,,2024-05-25
2025-04-23,Manchester by the Sea,2016,https://boxd.it/9uyinH,5,,,2024-06-21
2025-01-09,Deadpool & Wolverine,2024,https://boxd.it/8niaFZ,3,,,2024-07-23
2025-01-07,Paths of Glory,1957,https://boxd.it/8mdSfd,5,,,2024-08-29
2025-01-07,Uglies,2024,https://boxd.it/8mfaw9,1.5,,,2024-09-03
2025-01-09,Stalker,1979,https://boxd.it/8nlVqN,4.5,,,2024-09-18
2025-01-10,The Passion of Joan of Arc,1928,https://boxd.it/8oCQ4F,4,,,2024-09-19
2025-01-09,Charade,1963,https://boxd.it/8ns6Tt,4,,,2024-09-24
2025-01-07,Megalopolis,2024,https://boxd.it/8meTp1,3,,,2024-09-25
2025-01-10,The Wild Robot,2024,https://boxd.it/8oCfsl,5,,,2024-10-01
2025-02-02,Ed Wood,1994,https://boxd.it/8HJpMF,5,,,2024-10-03
2025-01-09,Over the Garden Wall,2014,https://boxd.it/8nsbMH,4.5,,,2024-10-09
2025-01-07,Ikiru,1952,https://boxd.it/8mdUF3,5,,,2024-10-10
2025-01-07,Terrifier 3,2024,https://boxd.it/8mel9j,3,,,2024-10-13
2024-11-08,Smile 2,2024,https://boxd.it/7KJkT1,2,,,2024-10-18
2025-01-09,Skinamarink,2022,https://boxd.it/8nsFgL,4,,,2024-10-26
2025-04-23,Inland Empire,2006,https://boxd.it/9uyxQp,4.5,,,2024-10-28
2025-01-09,Onibaba,1964,https://boxd.it/8nm6xP,4.5,,,2024-10-29
2024-11-08,Here,2024,https://boxd.it/7KJfkb,3.5,Yes,,2024-11-01
2025-04-23,Beautiful Boy,2018,https://boxd.it/9uyv1T,5,,,2024-11-12
2025-01-09,A Real Pain,2024,https://boxd.it/8nst8v,4,,,2024-11-14
2025-01-21,Godzilla Minus One,2023,https://boxd.it/8yeV2r,4,,,2024-11-23
2025-01-09,Almost Famous,2000,https://boxd.it/8niymd,4,,,2024-11-29
2025-01-22,Flow,2024,https://boxd.it/8z8S5T,4,,,2024-12-05
2025-01-09,Juno,2007,https://boxd.it/8nrQW7,4,,,2024-12-06
2025-01-09,All About Lily Chou-Chou,2001,https://boxd.it/8nirap,4,,,2024-12-12
