Date,Name,Year,Letterboxd URI,Rating
2023-07-27,The Fox and the Hound,1981,https://boxd.it/1V0o,3.5
2023-07-27,Spy Kids 3-D: Game Over,2003,https://boxd.it/1S7w,3
2023-07-27,Spirit: Stallion of the Cimarron,2002,https://boxd.it/1Zmo,4
2023-07-27,The Land Before Time,1988,https://boxd.it/1Sr2,3.5
2023-07-27,Avatar Spirits,2010,https://boxd.it/8vKa,4
2023-07-27,Radiohead: In Rainbows - From the Basement,2008,https://boxd.it/g7G,3.5
2023-07-27,The Birdcage,1996,https://boxd.it/1UTi,3
2023-07-27,Big Eyes,2014,https://boxd.it/36ms,3.5
2023-07-27,The Omen,1976,https://boxd.it/29By,2.5
2023-07-27,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,2.5
2023-07-27,Serpico,1973,https://boxd.it/1ZjE,3.5
2023-07-27,Cowboy Bebop,1998,https://boxd.it/ptES,4.5
2023-07-27,Detachment,2011,https://boxd.it/2BiY,4.5
2023-07-27,Blazing Saddles,1974,https://boxd.it/1UHQ,3
2023-07-27,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,3
2023-07-27,The Cat in the Hat,2003,https://boxd.it/1VSU,3
2023-07-27,Rocky IV,1985,https://boxd.it/28T2,3.5
2023-07-27,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,3.5
2023-07-27,Rocky II,1979,https://boxd.it/28Ua,4
2023-07-27,The Great Dictator,1940,https://boxd.it/29ic,4
2023-07-27,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2
2023-07-27,A Cure for Wellness,2016,https://boxd.it/bkQW,3.5
2023-07-27,The Artist,2011,https://boxd.it/2AwK,4.5
2023-07-27,Dumbo,1941,https://boxd.it/1U2o,3.5
2023-07-27,Spy Kids,2001,https://boxd.it/1Xcw,3
2023-07-27,Fast & Furious,2009,https://boxd.it/1Pnm,3.5
2023-07-27,Liar Liar,1997,https://boxd.it/28sg,3.5
2023-07-27,Peter Pan,1953,https://boxd.it/1VCC,3
2023-07-27,Gerald's Game,2017,https://boxd.it/buKa,3.5
2023-07-27,Terrifier,2016,https://boxd.it/eRzg,2
2023-07-27,Saw II,2005,https://boxd.it/2aRs,4
2023-07-27,The Jungle Book,1967,https://boxd.it/1YY2,3.5
2023-07-27,Troy,2004,https://boxd.it/29TW,3.5
2023-07-27,The Danish Girl,2015,https://boxd.it/9Ohy,2.5
2023-07-27,The Two Popes,2019,https://boxd.it/k8Xk,3.5
2023-07-27,The Holy Mountain,1973,https://boxd.it/20mu,4.5
2023-07-27,Limitless,2011,https://boxd.it/Aly,3
2023-07-27,The Ritual,2017,https://boxd.it/fo0I,3.5
2023-07-27,Brother Bear,2003,https://boxd.it/1Xjs,3.5
2023-07-27,Hook,1991,https://boxd.it/29nQ,2.5
2023-07-27,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,3.5
2023-07-27,Cars 3,2017,https://boxd.it/7IPq,4
2023-07-27,Jurassic Park III,2001,https://boxd.it/2azI,2.5
2023-07-27,The Untouchables,1987,https://boxd.it/2b6i,3.5
2023-07-27,Chicken Little,2005,https://boxd.it/1Xnu,2
2023-07-27,The Prince of Egypt,1998,https://boxd.it/1XGQ,4
2023-07-27,Straight Outta Compton,2015,https://boxd.it/8rMc,4
2023-07-27,Fantasia,1940,https://boxd.it/29HG,4.5
2023-07-27,Dumb and Dumber,1994,https://boxd.it/206m,3
2023-07-27,Pinocchio,1940,https://boxd.it/1V8C,3.5
2023-07-27,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,3.5
2023-07-27,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,3.5
2023-07-27,The Room,2003,https://boxd.it/1ICY,2
2023-07-27,The Talented Mr. Ripley,1999,https://boxd.it/2924,4
2023-07-27,Silence,2016,https://boxd.it/2cAo,4
2023-07-27,Project X,2012,https://boxd.it/neO,2.5
2023-07-27,The Skin I Live In,2011,https://boxd.it/99A,4.5
2023-07-27,Sinister,2012,https://boxd.it/2TnW,4
2023-07-27,Hellraiser,1987,https://boxd.it/1Zpi,3
