Date,Name,Year,Letterboxd URI
2023-07-25,Glass Onion,2022,https://boxd.it/oCkK
2023-07-25,Baby Driver,2017,https://boxd.it/bhF2
2023-07-25,Arrival,2016,https://boxd.it/aNGk
2023-07-25,Don't Look Up,2021,https://boxd.it/o0Hc
2023-07-25,Drive,2011,https://boxd.it/IG
2023-07-25,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-07-25,X,2022,https://boxd.it/sxVa
2023-07-25,Babylon,2022,https://boxd.it/mM02
2023-07-25,American Beauty,1999,https://boxd.it/71Y
2023-07-25,The Hateful Eight,2015,https://boxd.it/8gw8
2023-07-25,The Handmaiden,2016,https://boxd.it/948A
2023-07-25,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-07-25,Memories of Murder,2003,https://boxd.it/1TSo
2023-07-25,The Green Mile,1999,https://boxd.it/2agG
2023-07-25,Ford v Ferrari,2019,https://boxd.it/ce74
2023-07-25,Roma,2018,https://boxd.it/f69M
2023-07-25,Being John Malkovich,1999,https://boxd.it/2ahu
2023-07-25,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2023-07-25,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2023-07-25,American History X,1998,https://boxd.it/2bdo
2023-07-25,The Farewell,2019,https://boxd.it/kIky
2023-07-25,Ad Astra,2019,https://boxd.it/ePzI
2023-07-25,Rushmore,1998,https://boxd.it/1TAO
2023-07-25,Judas and the Black Messiah,2021,https://boxd.it/lsew
2023-07-25,Moneyball,2011,https://boxd.it/glS
2023-07-25,The Game,1997,https://boxd.it/26vC
2023-07-25,Dirty Dancing,1987,https://boxd.it/2baY
2023-07-25,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2023-07-25,The House That Jack Built,2018,https://boxd.it/dWO4
2023-07-25,Green Room,2015,https://boxd.it/a75m
2023-07-25,Murder on the Orient Express,2017,https://boxd.it/dHjA
2023-07-25,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2023-07-25,Twelve Monkeys,1995,https://boxd.it/2beQ
2023-07-25,The Birds,1963,https://boxd.it/2a6m
2023-07-25,The Sound of Music,1965,https://boxd.it/1MLK
2023-07-25,The Wind Rises,2013,https://boxd.it/4JQS
2023-07-25,King Richard,2021,https://boxd.it/mJZ2
2023-07-25,Rain Man,1988,https://boxd.it/2avw
2023-07-25,Bram Stoker's Dracula,1992,https://boxd.it/223a
2023-07-25,Lion,2016,https://boxd.it/b2La
2023-07-25,RoboCop,1987,https://boxd.it/22Wu
2023-07-25,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2023-07-25,The Da Vinci Code,2006,https://boxd.it/2a3i
2023-07-25,The House,2022,https://boxd.it/yVza
2023-07-25,Twin Peaks,1989,https://boxd.it/g8pk
2023-07-25,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2023-07-25,Hancock,2008,https://boxd.it/1Zv6
2023-07-25,Swallow,2019,https://boxd.it/lA0i
